"","NCT.Number","Study.Title","Study.Status","Brief.Summary","Study.Results","Conditions","Interventions","Primary.Outcome.Measures","Sex","Age","Phases","Enrollment","Funder.Type","Study.Type","Study.Design","Start.Date","Primary.Completion.Date","Completion.Date","First.Posted","Results.First.Posted","Last.Update.Posted","Locations","type_intervention"
"11","NCT04399772","COgNitive FuncTional Therapy+ for Chronic Low Back paIn","COMPLETED","This study is a patient-blinded 2-arm randomized controlled trial (RCT) assessing the effectiveness (in the short and long term) as well as total healthcare costs of a CFT+ (a combined physiotherapist/psychologist intervention) pathway compared with interdisciplinary pain management pathway (usual care) for patients with chronic low back pain referred to interdisciplinary pain treatment.

The primary aim of this pragmatic randomized controlled trial (RCT) is to investigate if a physiotherapy-led CFT pathway that includes psychologist support (CFT+) with the option of additional usual care (if needed) is superior to the currently recommended interdisciplinary pain management pathway (usual care) in reducing disability at 12 months in patients with severe cLBP. In addition, an economic evaluation will investigate total health care costs of the two pathways at 12 months.

In addition the study will explore changes in pain intensity, quality of life, thoughts and beliefs about back pain, and analgesic consumption in patients randomized to the CFT+ pathway compared with patients randomized to the interdisciplinary pain management pathway.","NO","Chronic Low-back Pain","BEHAVIORAL: Cognitive Functional Therapy+ pathway|BEHAVIORAL: Interdisciplinary pain management pathway","Pain-related disability during the last 7 days, Proportion of patients who have an improvement of 8 points or more on the Oswestry Disability Index (ODI) at 12 months. The ODI assesses pain-related disability within the last 7 days, asking patients to reflect on their ability to manage their everyday life despite their back pain for these domains: pain intensity, personal care, lifting, walking, sitting, standing, sleeping, sex life, social life, and travelling. Each domain is scored on a 0-5 scale. The index is calculated by dividing the summed score by the total possible score multiplied by 100 and expressed as a percentage with 100 representing the greatest disability., Change from baseline to 12 months","ALL","ADULT, OLDER_ADULT",NA,133,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT","2020-09-27","2023-03-01","2024-02-29","2020-05-22","","2024-03-25","Pain Center, University Hospital Odense, Odense, Funen, 5000, Denmark","behavioral"
"12","NCT06072872","Portable Continuous Positive Airways Pressure (CPAP) in Excessive Central Airway Collapse (ECAC) Study","RECRUITING","This study will investigate the role of a portable Continues Positive Airway Pressure device (pCPAP) in management of patients with symptomatic Excessive Central Airway Collapse (ECAC). ECAC is characterised by complete or partial collapse of central airways on exhalation. In some cases, this can cause persistent breathlessness and severely limited exercise capacity. Current treatment options for ECAC are very limited. Standard assistive breathing devices such as CPAP machines are sometimes used to relieve symptoms at night or at rest. This does not address breathlessness during activity which drives accumulation of disability over time.

The main aims of this project are to assess the effect of a portable CPAP (pCPAP) device on exercise capacity and symptoms and evaluate the feasibility of wearing pCPAP at home during routine activities. Lightweight battery-powered portable CPAP devices have been recently developed to facilitate travel to remote areas by people with Obstructive Sleep Apnoea (OSA). Patients with ECAC can wear them during physical activity to prevent airway collapse but their potential benefits have not been evaluated in clinical trials.

For this study, the investigators will recruit 20 patients with ECAC who will attend for two study visits 4-6 weeks apart in a single centre (The Royal Papworth Hospital). The primary outcome measure will be a shuttle walk test performed repeatedly with and without pCPAP in a randomised order. Secondary outcomes will include assessment of activity level, breathlessness, quality of life ,pCPAP usage and its acceptability. The study will evaluate a pragmatic way of CPAP titration and application. Previously acquired diagnostic baseline computed tomography (CT) scans will be analysed with a novel Functional Respiratory Imaging (FRI) tool. This software tool will enable retrospective reflections on the changes occurring within the lungs for patients with ECAC. This may help identify predictive features of potential pCPAP responders and inform future use.","NO","Excessive Central Airways Collapse|Respiratory Disease|Tracheobronchomalacia|Excessive Dynamic Airway Collapse","DEVICE: Use of portable CPAP","Distance achieved in incremental shuttle walk test with and without portable CPAP, Distance achieved in incremental shuttle walk test with and without portable CPAP after using portable CPAP, After using portable CPAP for four weeks","ALL","ADULT, OLDER_ADULT",NA,20,"OTHER_GOV","INTERVENTIONAL","Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT","2023-07-27","2023-12-31","2024-07-31","2023-10-10","","2023-10-10","Royal Papworth Hospital, Cambridge, Cambridgeshire, CB2 0AY, United Kingdom","device"
"13","NCT03612804","Promoting Smoking Cessation in Lung Cancer Screening Through Proactive Treatment","COMPLETED","This pragmatic trial will evaluate the value of routinely providing proactive smoking cessation support to current smokers as a part of participating in lung cancer screening within Veterans Health Administration.","NO","Smoking Reduction|Tobacco Use|Tobacco Smoking|Tomography|Lung Diseases|Lung Neoplasms","BEHAVIORAL: Unsigned note to provider about cessation medication prescription|BEHAVIORAL: Proactive Telephone Counseling from VA Quitline","Self-reported smoking abstinence, The primary outcome measure is self-reported abstinence from smoking 12 months after lung cancer screening, using information obtained from study surveys and electronic medical records, 12 months after lung cancer screening visit","ALL","CHILD, ADULT, OLDER_ADULT",NA,828,"FED","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT","2019-05-10","2023-02-09","2023-02-09","2018-08-02","","2023-08-24","Manhattan Campus of the VA NY Harbor Healthcare System, New York, NY, New York, New York, 10010-5011, United States|Providence VA Medical Center, Providence, RI, Providence, Rhode Island, 02908-4734, United States|VA Puget Sound Health Care System Seattle Division, Seattle, WA, Seattle, Washington, 98108-1532, United States","behavioral"
"14","NCT05931601","Early Initiated Vasopressor Therapy in the Emergency Department","RECRUITING","The goal of this pragmatic, multi-center, superiority, randomized clinical trial is to compare early treatment with peripheral (through a vein) infused noradrenaline (a natural hormone that increases blood pressure) with fluid only therapy in patients with hypotensive and shock in the Danish Emergency Departments (ED).

The main questions it aims to answer are:

If early initiated noradrenaline in non-bleeding hypotensive patients presenting in the ED can

* Improve time to shock control.
* Reduce the need for ICU admittance.
* Decrease mortality.

Participants will be included by the clinical staff and treated urgently with either noradrenaline or usual treatment during their Emergency Department stay.

After completion of the treatment in the Emergency Department, patient data will be extracted from the bed-side measurements, electronic health records and national registers.

Patients will be contacted by the research staff 1 year after study inclusion to answer brief questions about their daily physical function and ability to care for themselves.

Researchers will compare with patients receiving fluid therapy only, as this is the usual standard of care in Danish Emergency Departments.","NO","Shock|Shock, Septic|Hypotension|Hypotension and Shock|Hypotension Symptomatic|Hypovolemia|Hypovolemic Shock|Hypovolemic","DRUG: Noradrenaline","Proportion of patients achieving either systolic blood pressure (SBP) >100 mmHg or mean arterial pressure (MAP) > 65 mmHg or a target blood pressure set by the treating physician at 90 minutes after inclusion, Bed-side assessment during treatment and registered in the case report form., At 90 minutes","ALL","ADULT, OLDER_ADULT","PHASE3",320,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT","2023-12-08","2025-12-31","2026-01-31","2023-07-05","","2024-01-02","Esbjerg Hospital, Esbjerg, 6700, Denmark|Gødstrup Regional Hospital, Herning, 7400, Denmark|Zealand University Hospital, Køge, 4600, Denmark|Odense University Hospital, Odense, 5000, Denmark","drug"
"15","NCT01545401","Empowering Primary Care Providers and Patients to Improve Chronic Disease Outcomes: The EMPOWER Participatory Action Research (EMPOWER - PAR)","COMPLETED","BACKGROUND

Chronic disease management (CDM) presents enormous challenges to the primary care workforce due to the rising epidemic of cardiovascular risk factors. The Chronic Care Model (CCM) was proven effective in improving chronic disease outcomes in developed countries. Evidence that this model works in developing countries is still scarce. Therefore, the aim of this study is to evaluate the effectiveness of the EMPOWER-PAR intervention (multifaceted CDM strategies based on the CCM) in managing type 2 diabetes mellitus (T2DM) and hypertension (HPT), using readily available resources in the Malaysian public primary care setting.

METHODS

This is a pragmatic cluster randomised controlled trial - participatory action research which is currently being conducted in 10 public primary care clinics in Selangor and Kuala Lumpur, Malaysia. Five clinics are randomly selected to provide the EMPOWER-PAR intervention for 1 year, while the other 5 clinics continued with usual care. Each clinic recruits consecutive T2DM and HPT patients who fulfil the inclusion and exclusion criteria over a 2-week period.

The EMPOWER-PAR intervention consists of creating/strengthening a multidisciplinary CDM Team; and training the team to utilise the Global CV Risks Self-Management Booklet to support patient care and reinforcing them to utilise relevant clinical practice guidelines to aid management and prescribing.

For T2DM, primary outcome is the change in the proportion of patients achieving target HbA1c of \<6.5%. For HPT without T2DM, primary outcome is the change in the proportion of patients achieving target blood pressure of \<140/90 mmHg. Secondary outcomes include the proportion of patients achieving targets serum lipid profile, body mass index and waist circumference. Other outcome measures include medication adherence levels, process of care and prescribing patterns. Patients' assessment of their chronic disease care, providers' perception, attitude and perceived barriers in delivering the care and cost-effectiveness of the intervention are also evaluated.

CONCLUSION

Results from this study will provide objective evidence of the effectiveness and cost-effectiveness of a multifaceted intervention based on the CCM in resource constraint public primary care setting. It is hoped that the evidence will instigate the much needed primary care system change in Malaysia.","NO","Type 2 Diabetes Mellitus|Hypertension (Without Type 2 Diabetes Mellitus)","OTHER: EMPOWER-PAR Intervention","Change in the proportion of patients achieving glycaemic and BP control, Outcome measures are obtained from both intervention and control clinics at baseline and at 1-year after the commencement of intervention.

Primary Outcomes

For T2DM patients, primary outcome is measured by the change in the proportion of patients achieving glycaemic target of HbA1c \< 6.5%.

For HPT patients without T2DM, primary outcome is measured by the change in the proportion of patients achieving BP target of \< 140/90 mmHg., 1 year","ALL","ADULT, OLDER_ADULT","EARLY_PHASE1",1545,"OTHER_GOV","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH","2012-01","2014-06","2014-06","2012-03-06","","2014-09-19","Universiti Teknologi MARA, Batu Caves, Selangor, 68100, Malaysia","other"
"16","NCT01235546","Study of Effectiveness and Safety of Azithromycin-based Extended-spectrum Prophylaxis to Prevent Post Cesarean Infection","COMPLETED","The Cesarean Section Optimal Antibiotic Prophylaxis (C/SOAP) study is a large pragmatic multi-center randomized clinical trial designed to evaluate the comparative effectiveness and safety of azithromycin-based extended-spectrum antibiotic prophylaxis (azithromycin plus standard narrow-spectrum cephalosporin) relative to standard single-agent cephalosporin (preferably prior to surgical incision) to prevent post-cesarean infection.

Hypothesis: Compared to narrow-spectrum prophylaxis (i.e. cefazolin alone, or clindamycin if cephalosporin allergy) prior to surgical incision, the addition of extended-spectrum prophylaxis (azithromycin + cefazolin) reduces the incidence of post-cesarean infection.","YES","Endometritis|Wound Infection|Abscess|Surgical Site Infection","DRUG: Azithromycin and standard of care|DRUG: Placebo and standard of care","Participants With Endometritis and/or Wound Infection and/or Other Post-cesarean Infections (Occurring Within 6 Weeks of Delivery), Endometritis was defined as the presence of at least two of the following signs with no other recognized cause: fever (temperature of at least 38°C \[100.4°F\]), abdominal pain, uterine tenderness, or purulent drainage from the uterus. Wound infection was defined as the presence of either superficial or deep incisional surgical-site infection characterized by cellulitis or erythema and induration around the incision or purulent discharge from the incision site with or without fever and included necrotizing fasciitis. Wound hematoma, seroma, or breakdown alone in the absence of the preceding signs did not constitute infection., Up to 6 weeks after delivery","FEMALE","CHILD, ADULT, OLDER_ADULT",NA,2013,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION","2011-05","2015-12","2015-12","2010-11-05","2017-03-13","2017-07-28","University of Alabama at Birmingham, Birmingham, Alabama, 35233, United States|Ochsner Clinic Foundation, New Orleans, Louisiana, 70121, United States|University of Mississippi Medical Center, Jackson, Mississippi, 39216, United States|Columbia University, New York, New York, 10032, United States|Mission Hospital, Asheville, North Carolina, 28801, United States|University of North Carolina, Chapel Hill, North Carolina, 27599-7516, United States|University of Texas Medical Branch, Galveston, Texas, 77555-0587, United States|University of Texas Health Science Center at Houston, Houston, Texas, 77225, United States|University of Utah, Salt Lake City, Utah, 84132, United States","drug"
"17","NCT03385304","Pre-operative Aqueous Antiseptic Skin Solutions in Open Fractures","COMPLETED","The prevention of infection is the single most important goal influencing peri-operative care of patients with open fractures. Standard practice in the management of open fractures includes sterile technique and pre-operative skin preparation with an antiseptic solution. The available solutions kill bacteria and decrease the quantity of native skin flora, thereby decreasing surgical site infection (SSI). While there is extensive guidance on specific procedures for prophylactic antibiotic use and standards for sterile technique, the evidence regarding the choice of antiseptic skin preparation solution is very limited for open fracture surgery.","YES","Surgical Site Infection|Unplanned Fracture-Related Reoperation|Open Appendicular Fracture","DRUG: 10% povidone-iodine (1% free iodine) in purified water|DRUG: 4% chlorhexidine gluconate (CHG) in purified water","Number of Participants With a Superficial Incisional Surgical Site Infection (SSI), Guided by the Centers for Disease Control and Prevention (CDC) National Healthcare Safety Network reporting criteria (2017):

Date of event for infection may occur from the date of fracture to 30 days after the definitive fracture management surgery; AND involves only skin and subcutaneous tissue of the incision; AND patient has at least one of the following:

1. purulent drainage from the superficial incision.
2. organisms identified from an aseptically obtained specimen from the superficial incision or subcutaneous tissue by a culture or non-culture based microbiologic testing method which is performed for purposes of clinical diagnosis or treatment
3. superficial incision that is deliberately opened by a surgeon, and culture or non-culture-based testing is not performed. AND patient has at least one of the following signs or symptoms: pain or tenderness; localized swelling; erythema; or heat.
4. diagnosis of a superficial incisional SSI by the surgeon., Within 30 days of the patient's last planned fracture management surgery|Number of Participants With a Deep Incisional or Organ/Space Infection, Guided by CDC's National Healthcare Safety Network Surgical Site Infection reporting criteria (2017):

Deep Incisional Infection:

Occurs within 90 days post definitive fracture management; \& involves fascial/muscle layers; \& has at least one of the following:

1. deep incision purulent drainage
2. a deep incision that dehisces, or is opened by a surgeon, and organism is identified by microbiologic testing; or microbiologic testing is not performed \& has at least one of the following: fever (\> 38 °C); localized pain or tenderness
3. other evidence of deep incision infection on anatomical exam or imaging test

Organ/Space Infection:

Occurs within 90 days post definitive fracture management; \& involves any part of the body deeper than the fascial/muscle layers; \& has at least one of the following:

1. organ/space purulent drainage
2. organisms in organ/space identified by microbiologic testing
3. other evidence of organ/space infection on anatomical exam or imaging test, Within 90 days of the patient's last planned fracture management surgery","ALL","ADULT, OLDER_ADULT","PHASE4",1638,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT","2018-04-08","2021-10-19","2022-06-27","2017-12-28","2022-11-15","2023-03-31","The CORE Institute / Banner University Medical Center, Phoenix, Arizona, 85006, United States|Banner - University Medical Center Tucson, Tucson, Arizona, 85721, United States|University of California San Francisco, San Francisco, California, 94143, United States|University of Florida, Gainesville, Florida, 32611, United States|Indiana University Health Methodist Hospital, Indianapolis, Indiana, 46202, United States|University of Maryland, R Adams Cowley Shock Trauma Center, Baltimore, Maryland, 21201, United States|Wright State University / Miami Valley Hospital, Dayton, Ohio, 45409, United States|Greenville Health System, Greenville, South Carolina, 29605, United States|Vanderbilt University, Nashville, Tennessee, 37240, United States|San Antonio Military Medical Center, Fort Sam Houston, Texas, 78234, United States|McGovern Medical School at University of Texas Health Science Center Houston, Houston, Texas, 77030, United States|Hamilton Health Sciences, Hamilton, Ontario, L8L 2X2, Canada|McMaster University, Center for Evidence-Based Orthopaedics, Hamilton, Ontario, L8L 8E7, Canada|Hospital Parc Tauli de Sabadell, Barcelona, Spain|Vall d'Hebron University Hospital, Barcelona, Spain","drug"
"18","NCT04686604","PRagmatic Trial Of Messaging to Providers About Treatment of Heart Failure in the Inpatient Setting","COMPLETED","A randomized single-blind interventional trial to test the effectiveness of an electronic medical record-based best practice alert recommending evidence-based medical therapies versus usual care in inpatient adult patients presenting with heart failure with reduced ejection fraction.","NO","Heart Failure","OTHER: Best practice alert for the notification of patient HFrEF and recommended evidence-based medical therapies (NO drugs are being administered in this trial)","Proportion of patients with HFrEF with an increase in prescribed evidence-based HFrEF medical therapy, Assessed as an increase in the number of prescribed targeted evidence-based medical therapies for HFrEF. Evidence-based medical therapies include: beta-blockers, ACEi/ARBs/ARNIs, MRAs, and SGLT2is., Assessed from the date of randomization to discharge date, assessed up to 12 months.","ALL","ADULT, OLDER_ADULT",NA,1012,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE","2021-07-07","2022-12-14","2023-06-30","2020-12-29","","2024-01-26","Yale New Haven Hospital, New Haven, Connecticut, 06512, United States","other"
"19","NCT05816304","Effectiveness of Digital Cognitive Behavioral Therapy for Insomnia in Frontline Health Care Workers (The HCW-CBTi Study)","NOT_YET_RECRUITING","The COVID-19 pandemic has resulted in increased workload and concerns about personal and family safety for frontline healthcare workers (HCWs), which can lead to decreased well-being and worsening mental health. Sleep disruption is particularly prevalent among HCWs providing frontline COVID-19 care. It can have direct consequences on their cognitive and emotional functioning, as well as on patient safety. Cognitive Behavioral Therapy for insomnia (CBTi) is a first-line treatment for insomnia. It has been shown to improve sleep health and wellbeing in the general population. However, there are significant barriers to delivering CBTi to frontline HCWs, including limited availability of trained sleep therapists and high costs. To address this, a Canada-wide randomized controlled trial is developed to determine the effectiveness of a digital CBTi program on the sleep health, mental health, wellness, and overall quality of life of frontline HCWs caring for COVID-19 patients. This study may provide an easily accessible and scalable sleep health intervention that can be included as part of a national and global response to the COVID-19 pandemic.","NO","Insomnia|Post Traumatic Stress Disorder|Anxiety Disorders|Depression","BEHAVIORAL: Digital Cognitive Behavioral Therapy for Insomnia (dCBTi)","Assessing changes in the nature and severity of insomnia:, Change in score on the Insomnia Severity Index (ISI ) from baseline to 12 weeks. ISI is a 7-item self-report questionnaire that assesses insomnia's nature, severity, and impact. Responses can range from 0 to 4, where higher scores indicate more acute symptoms of insomnia. The score can be classified in the following way:

the total score of 0-7 indicates ""no clinically significant insomnia,"" 8-14 means ""subthreshold insomnia,"" 15-21 is ""clinical insomnia (moderate severity),"" and 22-28 means ""clinical insomnia (severe)., 12 weeks","ALL","CHILD, ADULT, OLDER_ADULT",NA,366,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT","2023-06-01","2024-12-31","2025-04-30","2023-04-18","","2023-05-19","Toronto Western Hospital, Toronto, Ontario, Canada","behavioral"
"20","NCT05542004","Nationwide Utilization of Danish Government Electronic Letter System for Increasing InFLUenza Vaccine Uptake","COMPLETED","In randomized clinical trials and observational studies, influenza vaccination has been shown to be effective in reducing influenza-related illness, hospitalizations, cardiovascular events, and mortality in select populations. However, the real-world effectiveness of influenza vaccination is limited by its uptake. This study will investigate investigate whether digital behavioral nudges delivered via the official, mandatory Danish electronic letter system can increase influenza vaccine uptake among eligible influenza vaccination candidates.","NO","Influenza|Behavior and Behavior Mechanisms","BEHAVIORAL: Behavioral Economic Principles","Number of participants who received an influenza vaccine, Up to 3 months","ALL","OLDER_ADULT",NA,964870,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER","2022-09-16","2023-01-01","2023-05-31","2022-09-15","","2023-06-07","Center for Translational Cardiology and Pragmatic Randomized Trials, Department of Cardiology, Copenhagen University Hospital - Herlev and Gentofte, Hellerup, Hovedstaden, 2900, Denmark","behavioral"
